Year,2020/21
Camden 001A,52
Camden 001B,63
Camden 001C,28
Camden 001D,76
Camden 001E,5
Camden 002A,17
Camden 002B,..
Camden 002C,23
Camden 002D,7
Camden 002E,8
Camden 003A,7
Camden 003B,53
Camden 003C,41
Camden 003D,21
Camden 003E,57
Camden 004A,29
Camden 004B,6
Camden 004C,..
Camden 004D,12
Camden 004E,10
Camden 005A,39
Camden 005B,32
Camden 005C,13
Camden 005D,11
Camden 005E,23
Camden 006A,12
Camden 006B,13
Camden 006C,57
Camden 006D,86
Camden 006E,36
Camden 007A,114
Camden 007B,117
Camden 007C,110
Camden 007D,154
Camden 007E,65
Camden 007F,34
Camden 008A,38
Camden 008B,7
Camden 008C,11
Camden 008D,5
Camden 008E,25
Camden 009A,59
Camden 009B,55
Camden 009C,43
Camden 009D,114
Camden 009E,73
Camden 010A,5
Camden 010B,13
Camden 010C,12
Camden 010D,65
Camden 010E,76
Camden 011A,..
Camden 011B,14
Camden 011C,5
Camden 011D,10
Camden 012A,83
Camden 012B,93
Camden 012C,132
Camden 012D,157
Camden 012E,15
Camden 013A,22
Camden 013B,98
Camden 013C,123
Camden 013D,41
Camden 013E,49
Camden 014A,7
Camden 014B,24
Camden 014C,93
Camden 014D,89
Camden 015A,27
Camden 015B,11
Camden 015C,104
Camden 015D,164
Camden 015E,81
Camden 016A,16
Camden 016B,43
Camden 016C,45
Camden 016D,..
Camden 016E,15
Camden 017A,44
Camden 017B,96
Camden 017C,35
Camden 017D,17
Camden 018A,38
Camden 018B,99
Camden 018C,33
Camden 018D,7
Camden 018E,5
Camden 019A,98
Camden 019B,32
Camden 019C,60
Camden 019D,149
Camden 019E,113
Camden 020A,104
Camden 020B,104
Camden 020C,39
Camden 020D,107
Camden 020E,110
Camden 021A,26
Camden 021B,73
Camden 021C,54
Camden 021D,52
Camden 022A,122
Camden 022B,195
Camden 022C,188
Camden 022D,115
Camden 022E,133
Camden 023A,99
Camden 023B,54
Camden 023C,90
Camden 023D,136
Camden 023E,147
Camden 024A,62
Camden 024B,54
Camden 024C,82
Camden 024D,38
Camden 025A,39
Camden 025B,28
Camden 025C,86
Camden 025D,23
Camden 025E,8
Camden 026A,5
Camden 026B,6
Camden 026C,9
Camden 026D,71
Camden 027A,129
Camden 027B,55
Camden 027C,88
Camden 027D,41
Camden 028A,7
Camden 028B,46
Camden 028C,60
Camden 028D,49
City of London 001A,..
City of London 001B,..
City of London 001C,5
City of London 001E,36
City of London 001F,13
City of London 001G,6
Hackney 001A,136
Hackney 001B,114
Hackney 001C,82
Hackney 001D,142
Hackney 001E,142
Hackney 002A,86
Hackney 002D,210
Hackney 002E,165
Hackney 002F,186
Hackney 003A,84
Hackney 003B,105
Hackney 003C,118
Hackney 003D,116
Hackney 003E,93
Hackney 004A,142
Hackney 004B,122
Hackney 004C,94
Hackney 004D,125
Hackney 004E,138
Hackney 006A,88
Hackney 006B,79
Hackney 006C,128
Hackney 006D,63
Hackney 006E,60
Hackney 007A,13
Hackney 007B,75
Hackney 007C,40
Hackney 007D,23
Hackney 007E,64
Hackney 007F,14
Hackney 008A,62
Hackney 008B,113
Hackney 008C,59
Hackney 008D,69
Hackney 009A,20
Hackney 009B,40
Hackney 009C,35
Hackney 009D,47
Hackney 009E,53
Hackney 010A,119
Hackney 010B,134
Hackney 010D,75
Hackney 010E,111
Hackney 010F,64
Hackney 010G,62
Hackney 011A,86
Hackney 011B,60
Hackney 011C,51
Hackney 011D,51
Hackney 011E,44
Hackney 012A,32
Hackney 012B,44
Hackney 012C,39
Hackney 012D,39
Hackney 013A,172
Hackney 013B,100
Hackney 013C,112
Hackney 013D,106
Hackney 014A,76
Hackney 014B,133
Hackney 014C,64
Hackney 014D,85
Hackney 014E,58
Hackney 014F,9
Hackney 015A,42
Hackney 015B,38
Hackney 015C,54
Hackney 015D,101
Hackney 016A,135
Hackney 016B,174
Hackney 016C,136
Hackney 016D,124
Hackney 016E,104
Hackney 016F,91
Hackney 017A,135
Hackney 017B,49
Hackney 017C,76
Hackney 017D,56
Hackney 018A,64
Hackney 018B,84
Hackney 018C,119
Hackney 018D,111
Hackney 019A,151
Hackney 019B,191
Hackney 019C,181
Hackney 019D,68
Hackney 019E,190
Hackney 019F,156
Hackney 020A,90
Hackney 020B,49
Hackney 020C,77
Hackney 020D,44
Hackney 020E,57
Hackney 021B,82
Hackney 021C,65
Hackney 021D,10
Hackney 021E,35
Hackney 021F,47
Hackney 021G,42
Hackney 021H,53
Hackney 021I,37
Hackney 022A,89
Hackney 022B,131
Hackney 022C,60
Hackney 022D,85
Hackney 022E,113
Hackney 023B,32
Hackney 023C,87
Hackney 023D,75
Hackney 023E,53
Hackney 023F,41
Hackney 023G,58
Hackney 024A,106
Hackney 024B,136
Hackney 024C,104
Hackney 024D,113
Hackney 024E,83
Hackney 024F,106
Hackney 025A,124
Hackney 025B,146
Hackney 025C,140
Hackney 025D,143
Hackney 025E,123
Hackney 025F,94
Hackney 026A,140
Hackney 026B,110
Hackney 026C,87
Hackney 026D,108
Hackney 027B,117
Hackney 027D,117
Hackney 027E,138
Hackney 027F,41
Hackney 027G,7
Hackney 027H,57
Hackney 027I,32
Hackney 028A,129
Hackney 028B,144
Hackney 028C,117
Hackney 028D,104
Hackney 028E,54
Hackney 029A,130
Hackney 029B,106
Hackney 029C,155
Hackney 029D,162
Hammersmith and Fulham 001A,46
Hammersmith and Fulham 001B,112
Hammersmith and Fulham 001C,63
Hammersmith and Fulham 001D,57
Hammersmith and Fulham 001E,89
Hammersmith and Fulham 002A,109
Hammersmith and Fulham 002B,159
Hammersmith and Fulham 002C,146
Hammersmith and Fulham 002D,145
Hammersmith and Fulham 003A,38
Hammersmith and Fulham 003B,49
Hammersmith and Fulham 003C,85
Hammersmith and Fulham 003D,52
Hammersmith and Fulham 004A,69
Hammersmith and Fulham 004B,131
Hammersmith and Fulham 004C,45
Hammersmith and Fulham 004D,45
Hammersmith and Fulham 005A,55
Hammersmith and Fulham 005B,52
Hammersmith and Fulham 005C,11
Hammersmith and Fulham 005D,49
Hammersmith and Fulham 006A,43
Hammersmith and Fulham 006B,65
Hammersmith and Fulham 006C,52
Hammersmith and Fulham 006D,23
Hammersmith and Fulham 006E,26
Hammersmith and Fulham 007A,13
Hammersmith and Fulham 007B,12
Hammersmith and Fulham 007C,50
Hammersmith and Fulham 007D,93
Hammersmith and Fulham 008A,93
Hammersmith and Fulham 008B,13
Hammersmith and Fulham 008C,13
Hammersmith and Fulham 008D,36
Hammersmith and Fulham 009A,40
Hammersmith and Fulham 009B,28
Hammersmith and Fulham 009C,11
Hammersmith and Fulham 009D,6
Hammersmith and Fulham 010A,16
Hammersmith and Fulham 010B,15
Hammersmith and Fulham 010C,30
Hammersmith and Fulham 010D,6
Hammersmith and Fulham 010E,34
Hammersmith and Fulham 011A,24
Hammersmith and Fulham 011B,19
Hammersmith and Fulham 011C,30
Hammersmith and Fulham 011D,20
Hammersmith and Fulham 012A,25
Hammersmith and Fulham 012B,8
Hammersmith and Fulham 012C,40
Hammersmith and Fulham 012D,20
Hammersmith and Fulham 012E,19
Hammersmith and Fulham 012F,22
Hammersmith and Fulham 013A,48
Hammersmith and Fulham 013B,43
Hammersmith and Fulham 013C,32
Hammersmith and Fulham 013D,61
Hammersmith and Fulham 013E,53
Hammersmith and Fulham 014A,33
Hammersmith and Fulham 014B,21
Hammersmith and Fulham 014C,..
Hammersmith and Fulham 014D,18
Hammersmith and Fulham 015A,116
Hammersmith and Fulham 015B,12
Hammersmith and Fulham 015C,45
Hammersmith and Fulham 015D,95
Hammersmith and Fulham 015E,115
Hammersmith and Fulham 016A,29
Hammersmith and Fulham 016B,31
Hammersmith and Fulham 016C,18
Hammersmith and Fulham 016D,46
Hammersmith and Fulham 017A,38
Hammersmith and Fulham 017B,11
Hammersmith and Fulham 017C,17
Hammersmith and Fulham 017D,22
Hammersmith and Fulham 017E,15
Hammersmith and Fulham 018A,11
Hammersmith and Fulham 018B,9
Hammersmith and Fulham 018C,11
Hammersmith and Fulham 018D,13
Hammersmith and Fulham 018E,8
Hammersmith and Fulham 019A,26
Hammersmith and Fulham 019B,7
Hammersmith and Fulham 019C,25
Hammersmith and Fulham 019D,26
Hammersmith and Fulham 020A,27
Hammersmith and Fulham 020B,20
Hammersmith and Fulham 020C,15
Hammersmith and Fulham 020D,28
Hammersmith and Fulham 020E,9
Hammersmith and Fulham 021A,113
Hammersmith and Fulham 021B,30
Hammersmith and Fulham 021C,8
Hammersmith and Fulham 021D,6
Hammersmith and Fulham 021E,28
Hammersmith and Fulham 021F,49
Hammersmith and Fulham 022A,13
Hammersmith and Fulham 022B,14
Hammersmith and Fulham 022C,20
Hammersmith and Fulham 022D,14
Hammersmith and Fulham 023A,48
Hammersmith and Fulham 023C,83
Hammersmith and Fulham 023D,47
Hammersmith and Fulham 023E,31
Hammersmith and Fulham 023F,23
Hammersmith and Fulham 024A,11
Hammersmith and Fulham 024B,7
Hammersmith and Fulham 024C,9
Hammersmith and Fulham 024D,17
Hammersmith and Fulham 025A,5
Hammersmith and Fulham 025B,61
Hammersmith and Fulham 025C,14
Hammersmith and Fulham 025D,94
Haringey 001A,72
Haringey 001B,121
Haringey 001C,50
Haringey 001D,40
Haringey 002A,157
Haringey 002B,108
Haringey 002C,138
Haringey 002D,130
Haringey 004A,43
Haringey 004B,103
Haringey 004C,50
Haringey 004D,80
Haringey 005A,104
Haringey 005B,143
Haringey 005C,140
Haringey 005D,146
Haringey 006A,106
Haringey 006B,66
Haringey 006C,72
Haringey 006D,114
Haringey 007A,47
Haringey 007B,54
Haringey 007C,82
Haringey 007D,74
Haringey 008A,126
Haringey 008B,81
Haringey 008C,82
Haringey 008D,59
Haringey 009A,24
Haringey 009B,25
Haringey 009C,25
Haringey 009D,11
Haringey 010A,41
Haringey 010B,65
Haringey 010C,115
Haringey 010D,92
Haringey 011A,84
Haringey 011B,69
Haringey 011C,109
Haringey 011D,119
Haringey 012A,80
Haringey 012B,156
Haringey 012C,118
Haringey 012D,121
Haringey 013A,84
Haringey 013B,66
Haringey 013C,69
Haringey 013D,126
Haringey 014A,6
Haringey 014B,13
Haringey 014C,15
Haringey 014D,20
Haringey 015A,94
Haringey 015B,101
Haringey 015C,81
