Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Camden 001A,52,,37,,56,,65,
Camden 001B,63,,79,,79,,70,
Camden 001C,28,,23,,31,,27,
Camden 001D,76,,79,,92,,85,
Camden 001E,5,,8,,6,,6,
Camden 002A,17,,19,,24,,20,
Camden 002B,..,,..,,5,,..,
Camden 002C,23,,11,,8,,12,
Camden 002D,7,,6,,6,,5,
Camden 002E,8,,9,,8,,8,
Camden 003A,7,,10,,13,,18,
Camden 003B,53,,51,,42,,46,
Camden 003C,41,,27,,40,,45,
Camden 003D,21,,27,,16,,18,
Camden 003E,57,,57,,64,,54,
Camden 004A,29,,43,,37,,38,
Camden 004B,6,,7,,6,,9,
Camden 004C,..,,5,,6,,..,
Camden 004D,12,,6,,8,,23,
Camden 004E,10,,12,,13,,19,
Camden 005A,39,,47,,35,,40,
Camden 005B,32,,51,,47,,65,
Camden 005C,13,,12,,29,,31,
Camden 005D,11,,17,,15,,14,
Camden 005E,23,,12,,14,,22,
Camden 006A,12,,9,,7,,16,
Camden 006B,13,,6,,13,,22,
Camden 006C,57,,43,,36,,35,
Camden 006D,86,,72,,70,,73,
Camden 006E,36,,30,,36,,42,
Camden 007A,114,,114,,102,,123,
Camden 007B,117,,111,,123,,136,
Camden 007C,110,,94,,111,,101,
Camden 007D,154,,158,,180,,186,
Camden 007E,65,,75,,94,,94,
Camden 007F,34,,26,,32,,39,
Camden 008A,38,,38,,33,,36,
Camden 008B,7,,10,,14,,7,
Camden 008C,11,,5,,7,,9,
Camden 008D,5,,..,,13,,6,
Camden 008E,25,,30,,39,,33,
Camden 009A,59,,43,,50,,53,
Camden 009B,55,,45,,41,,49,
Camden 009C,43,,43,,52,,47,
Camden 009D,114,,112,,121,,127,
Camden 009E,73,,91,,94,,78,
Camden 010A,5,,7,,7,,6,
Camden 010B,13,,12,,19,,20,
Camden 010C,12,,16,,19,,12,
Camden 010D,65,,84,,86,,91,
Camden 010E,76,,72,,87,,78,
Camden 011A,..,,..,,5,,6,
Camden 011B,14,,14,,15,,6,
Camden 011C,5,,..,,5,,..,
Camden 011D,10,,12,,11,,16,
Camden 012A,83,,57,,71,,65,
Camden 012B,93,,105,,109,,85,
Camden 012C,132,,142,,116,,95,
Camden 012D,157,,155,,171,,185,
Camden 012E,15,,21,,14,,11,
Camden 013A,22,,28,,33,,29,
Camden 013B,98,,83,,93,,106,
Camden 013C,123,,153,,145,,152,
Camden 013D,41,,29,,28,,23,
Camden 013E,49,,32,,52,,61,
Camden 014A,7,,..,,24,,41,
Camden 014B,24,,22,,32,,18,
Camden 014C,93,,99,,110,,109,
Camden 014D,89,,84,,89,,85,
Camden 015A,27,,40,,49,,36,
Camden 015B,11,,16,,21,,11,
Camden 015C,104,,113,,99,,107,
Camden 015D,164,,155,,165,,185,
Camden 015E,81,,84,,80,,79,
Camden 016A,16,,12,,8,,7,
Camden 016B,43,,24,,36,,38,
Camden 016C,45,,54,,60,,57,
Camden 016D,..,,5,,11,,7,
Camden 016E,15,,16,,16,,22,
Camden 017A,44,,58,,87,,82,
Camden 017B,96,,86,,119,,108,
Camden 017C,35,,26,,33,,24,
Camden 017D,17,,15,,27,,21,
Camden 018A,38,,25,,32,,22,
Camden 018B,99,,78,,94,,90,
Camden 018C,33,,17,,10,,16,
Camden 018D,7,,18,,12,,18,
